datetime,mean,std
2020-01-01,437.64375,22.156275156360305
2020-01-02,462.10249999999996,46.64723024071672
2020-01-03,527.7191666666666,16.50883819067222
2020-01-04,492.5833333333333,31.99276095655371
2020-01-05,425.5825,17.430425984467533
2020-01-06,469.7775,40.75585146038382
2020-01-07,493.0125,33.220513731859974
2020-01-08,497.83958333333334,19.76671697118265
2020-01-09,459.49625,18.96002495240057
2020-01-10,460.50458333333336,16.94456485365469
2020-01-11,437.19958333333335,48.185375417928086
2020-01-12,513.7266666666667,10.621754815581031
2020-01-13,525.5845833333334,21.531864149020727
2020-01-14,512.6329166666667,34.01156216183555
2020-01-15,517.07625,29.800525938238902
2020-01-16,501.12916666666666,49.090250065051364
2020-01-17,497.4216666666667,25.697429014806456
2020-01-18,511.4983333333333,22.06943285783908
2020-01-19,501.47416666666663,45.439406850524975
2020-01-20,594.3100000000001,12.253398818641905
2020-01-21,542.8495833333333,33.22889555520675
2020-01-22,494.4979166666667,24.761095357376693
2020-01-23,575.2191666666666,21.103278730766135
2020-01-24,536.1145833333334,21.59234042516544
2020-01-25,523.19625,14.871202931519534
2020-01-26,539.1083333333333,13.276014222016675
2020-01-27,577.54875,16.97465817354495
2020-01-28,595.38,11.25743194130191
2020-01-29,598.7429166666667,7.7012254694876034
2020-01-30,594.5175,11.806859557422445
2020-01-31,575.3966666666666,26.664214035761958
2020-02-01,506.3983333333333,40.36984126867441
2020-02-02,421.63416666666666,20.51213488489758
2020-02-03,450.2908333333333,25.811551831903017
2020-02-04,460.4120833333333,30.55740513385409
2020-02-05,526.5933333333334,37.26752423114314
2020-02-06,546.7775,17.008297527460197
2020-02-07,529.8020833333334,16.83639922754493
2020-02-08,553.82875,20.160548498512405
2020-02-09,461.33750000000003,30.654921336938916
2020-02-10,495.6858333333333,31.33068865264973
2020-02-11,488.88916666666665,30.319189922163698
2020-02-12,468.91249999999997,29.656486239724273
2020-02-13,483.98625,37.50186393193762
2020-02-14,517.37625,23.445818541164584
2020-02-15,463.5541666666666,23.6651861192337
2020-02-16,509.685,19.418059053141846
2020-02-17,502.1329166666667,26.817694431129716
2020-02-18,466.56708333333336,39.589028726037405
2020-02-19,539.57375,38.572380049944975
2020-02-20,552.7904166666666,23.534170620086925
2020-02-21,471.43333333333334,29.483680182457707
2020-02-22,440.9920833333333,21.921101205909117
2020-02-23,435.3829166666667,20.663264921356102
2020-02-24,490.27875,44.72509968516363
2020-02-25,451.5325,29.49046319685767
2020-02-26,478.2475,42.95035680876242
2020-02-27,550.5995833333333,13.024633343472074
2020-02-28,549.965,14.082746150180924
2020-02-29,493.2970833333334,43.84859637624297
2020-03-01,419.96458333333334,17.705275553561307
2020-03-02,460.3066666666667,65.93529408288934
2020-03-03,447.62916666666666,28.8040846917158
2020-03-04,491.0933333333333,37.05497885535782
2020-03-05,430.7695833333333,14.56548764214995
2020-03-06,466.4866666666667,40.82860097984029
2020-03-07,437.2579166666667,24.17645710354828
2020-03-08,385.18833333333333,13.566600185002523
2020-03-09,430.59,47.88405779906653
2020-03-10,510.35375,47.56017980114661
2020-03-11,524.6795833333333,24.782343377838636
2020-03-12,446.80875,22.678860164690036
2020-03-13,439.51208333333335,50.0966800062133
2020-03-14,523.5466666666667,25.341349551700038
2020-03-15,533.2358333333333,11.730155088735922
2020-03-16,552.67,17.970015847661855
2020-03-17,537.1554166666666,36.828349545609896
2020-03-18,555.5554166666667,31.921526875757504
2020-03-19,515.7654166666667,35.24412229493847
2020-03-20,424.4883333333333,25.980480911749833
2020-03-21,528.9270833333334,16.52096862071551
2020-03-22,475.85791666666665,25.319358632437194
2020-03-23,563.125,31.037704559903073
2020-03-24,514.5808333333333,18.0614179029961
2020-03-25,506.46541666666667,34.34444401357297
2020-03-26,516.3854166666666,36.935198480248616
2020-03-27,491.9529166666667,32.91136733438528
2020-03-28,439.96416666666664,27.541982328432887
2020-03-29,379.1170833333333,19.95863885730268
2020-03-30,456.87208333333336,46.824045567390904
2020-03-31,483.72333333333336,43.285098115177966
2020-04-01,441.77416666666664,16.16724437186841
2020-04-02,424.15124999999995,11.624594733468829
2020-04-03,450.38708333333335,33.96547050719835
2020-04-04,486.46541666666667,18.994881685696896
2020-04-05,473.4666666666667,13.276145874287552
2020-04-06,464.1308333333333,40.33019172397714
2020-04-07,469.4291666666666,50.50757583439009
2020-04-08,473.62083333333334,20.90471403393454
2020-04-09,400.66291666666666,22.049504081806994
2020-04-10,439.2029166666666,42.27241350215412
2020-04-11,458.3745833333333,20.09690306645079
2020-04-12,395.6016666666667,25.56340364265097
2020-04-13,384.9979166666667,22.83415576245503
2020-04-14,445.1483333333333,23.490924735470422
2020-04-15,541.6999999999999,14.829741854741073
2020-04-16,515.7616666666667,13.684546240087817
2020-04-17,484.3879166666666,24.284318070859367
2020-04-18,381.4504166666666,39.40323518820637
2020-04-19,381.69166666666666,41.13732523555994
2020-04-20,430.7416666666666,26.370541810177468
2020-04-21,426.08458333333334,50.16123238718767
2020-04-22,430.8041666666666,17.278406709120976
2020-04-23,486.81666666666666,47.026979921952346
2020-04-24,483.7066666666667,26.30001945224388
2020-04-25,467.22541666666666,19.742040328714268
2020-04-26,448.4508333333333,21.59549528644029
2020-04-27,440.3341666666667,39.442661180687296
2020-04-28,427.49458333333337,37.38367232282804
2020-04-29,372.25500000000005,17.21945588192513
2020-04-30,432.53416666666664,47.795944881354195
2020-05-01,414.5154166666667,29.597219607836365
2020-05-02,389.8454166666667,29.734767233451393
2020-05-03,447.19666666666666,23.30841621961188
